case_id,stl_path,stl_exists,target_wall_thickness_mm,wall_thickness_compliance_fraction,smoothing_volume_change_relative,status,stl_loadable,watertight,watertight_after_repair,non_manifold_edge_count,non_manifold_edge_count_after_repair,connected_component_count,mesh_volume_mm3,surface_area_mm2,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,estimated_minimum_feature_size_mm,repair_success,slicer_compatibility_proxy,slicer_proxy_notes
920,outputs/phase_b_mesh_qc/case_outputs/920/segmentation_repaired.stl,True,3.0,0.052532589662105195,-0.003745146702958334,ok,True,True,True,0,0,18,6520.708024639687,8323.323584515712,138.00000190734863,95.40000915527344,90.0000057220459,0.4242468053627785,0.5999984741210938,0.5892462594866091,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
921,outputs/phase_b_mesh_qc/case_outputs/921/segmentation_repaired.stl,True,3.0,0.08772695530726257,-0.002516609668937954,ok,True,True,True,0,0,7,7297.26365380661,8389.647570518524,156.00000762939453,111.60000610351562,86.99999952316284,0.4242468053627785,0.5999984741210938,0.59176309962908,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
922,outputs/phase_b_mesh_qc/case_outputs/922/segmentation_repaired.stl,True,3.0,0.08037292060203521,-0.004589556702031064,ok,True,True,True,0,0,18,3466.2874125248077,4304.507713957768,104.40001106262207,86.40000915527344,66.60000610351562,0.4242548976348674,0.5999984741210938,0.5880428467196213,0.4242548976348674,True,True,loadable STL and repaired mesh has no non-manifold edges
923,outputs/phase_b_mesh_qc/case_outputs/923/segmentation_repaired.stl,True,3.0,0.13855167565033982,-0.0021711304181358253,ok,True,True,True,0,0,6,9084.942969324307,9464.512227104571,122.39999771118164,126.60000991821289,99.60000419616699,0.4242468053627785,0.5999984741210938,0.5908173370242683,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
924,outputs/phase_b_mesh_qc/case_outputs/924/segmentation_repaired.stl,True,3.0,0.05177331682901889,-0.00341601712049352,ok,True,True,True,0,0,8,7873.91206406901,9895.836345621827,111.60001182556152,67.20001220703125,123.60001182556152,0.424252200193688,0.5999984741210938,0.5928714908066393,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
925,outputs/phase_b_mesh_qc/case_outputs/925/segmentation_repaired.stl,True,3.0,0.07376369558779983,not_watertight,ok,True,False,False,82,82,16,not_watertight,8538.003413103943,156.9000072479248,109.79999923706055,117.9000015258789,0.4242468053627785,0.5999984741210938,0.5912532416555956,0.4242468053627785,True,False,geometry defects may break slicing
926,outputs/phase_b_mesh_qc/case_outputs/926/segmentation_repaired.stl,True,3.0,0.07582010807131005,-0.003348710340077236,ok,True,True,True,0,0,9,4981.0507976462,5941.213750072229,103.20000839233398,92.4000015258789,111.00000429153442,0.424252200193688,0.5999984741210938,0.5872254604892162,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
927,outputs/phase_b_mesh_qc/case_outputs/927/segmentation_repaired.stl,True,3.0,0.04470780257602101,-0.003887121778608028,ok,True,True,True,0,0,13,5953.94147020637,7808.306169497954,107.39999771118164,94.20001220703125,90.00000381469727,0.4242468053627785,0.5999984741210938,0.5899759826178089,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
928,outputs/phase_b_mesh_qc/case_outputs/928/segmentation_repaired.stl,True,3.0,0.11885673412213513,-0.0025290732386310205,ok,True,True,True,0,0,7,7140.132434855776,7685.439031140451,128.4000015258789,108.5999984741211,90.00000381469727,0.4242468053627785,0.5999984741210938,0.591711768937851,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
929,outputs/phase_b_mesh_qc/case_outputs/929/segmentation_repaired.stl,True,3.0,0.13160780144200418,-0.0030826469370450814,ok,True,True,True,0,0,17,6393.0159233806435,6990.16482991282,105.00000762939453,106.20000839233398,85.20000553131104,0.4242468053627785,0.5999984741210938,0.5888642861153327,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
