case_id,repaired_stl,mesh_qc_status,watertight,non_manifold_edge_count
846,outputs/phase_b_mesh_qc/case_outputs/846/segmentation_repaired.stl,ok,True,0
847,outputs/phase_b_mesh_qc/case_outputs/847/segmentation_repaired.stl,ok,True,0
848,outputs/phase_b_mesh_qc/case_outputs/848/segmentation_repaired.stl,ok,True,0
849,outputs/phase_b_mesh_qc/case_outputs/849/segmentation_repaired.stl,ok,True,0
850,outputs/phase_b_mesh_qc/case_outputs/850/segmentation_repaired.stl,ok,True,0
851,outputs/phase_b_mesh_qc/case_outputs/851/segmentation_repaired.stl,ok,True,0
852,outputs/phase_b_mesh_qc/case_outputs/852/segmentation_repaired.stl,ok,True,0
853,outputs/phase_b_mesh_qc/case_outputs/853/segmentation_repaired.stl,ok,True,0
854,outputs/phase_b_mesh_qc/case_outputs/854/segmentation_repaired.stl,ok,True,0
855,outputs/phase_b_mesh_qc/case_outputs/855/segmentation_repaired.stl,ok,False,52
856,outputs/phase_b_mesh_qc/case_outputs/856/segmentation_repaired.stl,ok,False,10
857,outputs/phase_b_mesh_qc/case_outputs/857/segmentation_repaired.stl,ok,True,0
858,outputs/phase_b_mesh_qc/case_outputs/858/segmentation_repaired.stl,ok,True,0
859,outputs/phase_b_mesh_qc/case_outputs/859/segmentation_repaired.stl,ok,True,0
860,outputs/phase_b_mesh_qc/case_outputs/860/segmentation_repaired.stl,ok,True,0
861,outputs/phase_b_mesh_qc/case_outputs/861/segmentation_repaired.stl,ok,False,20
862,outputs/phase_b_mesh_qc/case_outputs/862/segmentation_repaired.stl,ok,True,0
863,outputs/phase_b_mesh_qc/case_outputs/863/segmentation_repaired.stl,ok,True,0
864,outputs/phase_b_mesh_qc/case_outputs/864/segmentation_repaired.stl,ok,True,0
865,outputs/phase_b_mesh_qc/case_outputs/865/segmentation_repaired.stl,ok,True,0
866,outputs/phase_b_mesh_qc/case_outputs/866/segmentation_repaired.stl,ok,True,0
867,outputs/phase_b_mesh_qc/case_outputs/867/segmentation_repaired.stl,ok,False,58
868,outputs/phase_b_mesh_qc/case_outputs/868/segmentation_repaired.stl,ok,False,36
869,outputs/phase_b_mesh_qc/case_outputs/869/segmentation_repaired.stl,ok,True,0
870,outputs/phase_b_mesh_qc/case_outputs/870/segmentation_repaired.stl,ok,False,10
871,outputs/phase_b_mesh_qc/case_outputs/871/segmentation_repaired.stl,ok,True,0
872,outputs/phase_b_mesh_qc/case_outputs/872/segmentation_repaired.stl,ok,True,0
873,outputs/phase_b_mesh_qc/case_outputs/873/segmentation_repaired.stl,ok,False,16
874,outputs/phase_b_mesh_qc/case_outputs/874/segmentation_repaired.stl,ok,True,0
875,outputs/phase_b_mesh_qc/case_outputs/875/segmentation_repaired.stl,ok,True,0
876,outputs/phase_b_mesh_qc/case_outputs/876/segmentation_repaired.stl,ok,True,0
877,outputs/phase_b_mesh_qc/case_outputs/877/segmentation_repaired.stl,ok,True,0
878,outputs/phase_b_mesh_qc/case_outputs/878/segmentation_repaired.stl,ok,True,0
879,outputs/phase_b_mesh_qc/case_outputs/879/segmentation_repaired.stl,ok,True,0
880,outputs/phase_b_mesh_qc/case_outputs/880/segmentation_repaired.stl,ok,True,0
881,outputs/phase_b_mesh_qc/case_outputs/881/segmentation_repaired.stl,ok,True,0
882,outputs/phase_b_mesh_qc/case_outputs/882/segmentation_repaired.stl,ok,True,0
883,outputs/phase_b_mesh_qc/case_outputs/883/segmentation_repaired.stl,ok,True,0
884,outputs/phase_b_mesh_qc/case_outputs/884/segmentation_repaired.stl,ok,True,0
885,outputs/phase_b_mesh_qc/case_outputs/885/segmentation_repaired.stl,ok,True,0
886,outputs/phase_b_mesh_qc/case_outputs/886/segmentation_repaired.stl,ok,True,0
887,outputs/phase_b_mesh_qc/case_outputs/887/segmentation_repaired.stl,ok,True,0
888,outputs/phase_b_mesh_qc/case_outputs/888/segmentation_repaired.stl,ok,True,0
889,outputs/phase_b_mesh_qc/case_outputs/889/segmentation_repaired.stl,ok,True,0
890,outputs/phase_b_mesh_qc/case_outputs/890/segmentation_repaired.stl,ok,True,0
891,outputs/phase_b_mesh_qc/case_outputs/891/segmentation_repaired.stl,ok,True,0
892,outputs/phase_b_mesh_qc/case_outputs/892/segmentation_repaired.stl,ok,True,0
893,outputs/phase_b_mesh_qc/case_outputs/893/segmentation_repaired.stl,ok,True,0
894,outputs/phase_b_mesh_qc/case_outputs/894/segmentation_repaired.stl,ok,True,0
895,outputs/phase_b_mesh_qc/case_outputs/895/segmentation_repaired.stl,ok,True,0
896,outputs/phase_b_mesh_qc/case_outputs/896/segmentation_repaired.stl,ok,True,0
897,outputs/phase_b_mesh_qc/case_outputs/897/segmentation_repaired.stl,ok,True,0
898,outputs/phase_b_mesh_qc/case_outputs/898/segmentation_repaired.stl,ok,True,0
899,outputs/phase_b_mesh_qc/case_outputs/899/segmentation_repaired.stl,ok,True,0
900,outputs/phase_b_mesh_qc/case_outputs/900/segmentation_repaired.stl,ok,True,0
901,outputs/phase_b_mesh_qc/case_outputs/901/segmentation_repaired.stl,ok,True,0
902,outputs/phase_b_mesh_qc/case_outputs/902/segmentation_repaired.stl,ok,True,0
903,outputs/phase_b_mesh_qc/case_outputs/903/segmentation_repaired.stl,ok,True,0
904,outputs/phase_b_mesh_qc/case_outputs/904/segmentation_repaired.stl,ok,False,68
905,outputs/phase_b_mesh_qc/case_outputs/905/segmentation_repaired.stl,ok,True,0
906,outputs/phase_b_mesh_qc/case_outputs/906/segmentation_repaired.stl,ok,True,0
907,outputs/phase_b_mesh_qc/case_outputs/907/segmentation_repaired.stl,ok,True,0
908,outputs/phase_b_mesh_qc/case_outputs/908/segmentation_repaired.stl,ok,True,0
909,outputs/phase_b_mesh_qc/case_outputs/909/segmentation_repaired.stl,ok,True,0
910,outputs/phase_b_mesh_qc/case_outputs/910/segmentation_repaired.stl,ok,True,0
911,outputs/phase_b_mesh_qc/case_outputs/911/segmentation_repaired.stl,ok,True,0
912,outputs/phase_b_mesh_qc/case_outputs/912/segmentation_repaired.stl,ok,True,0
