case_id,mask_path,status,target_wall_thickness_mm,connected_component_count,watertight,non_manifold_edge_count,surface_area_mm2,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,raw_stl,repaired_stl,smoothed_stl,repair_success,surface_roughness_pre_mean,surface_roughness_pre_max,surface_roughness_post_mean,surface_roughness_post_max,smoothing_volume_change_relative,wall_thickness_compliance_fraction,slicer_compatibility_proxy
770,outputs/final_test_250_phaseb_traceable_v14/case_outputs/770/seg_mask_0.5.nii.gz,ok,3.0,9,True,0,13127.584792234185,11567.404378941947,127.80000507831573,96.60000383853912,93.60000371932983,0.4242640855706679,0.6000000238418579,0.5906890589190928,outputs/phase_b_mesh_qc/case_outputs/770/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/770/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/770/segmentation_smoothed.stl,True,0.5866489684352408,3.141592653589793,0.5321759619619248,3.1376178408811106,-0.0024613027905707567,0.09908007565046548,True
771,outputs/final_test_250_phaseb_traceable_v14/case_outputs/771/seg_mask_0.5.nii.gz,ok,3.0,7,True,0,7806.619856452513,7014.6458362108815,151.80000603199005,120.60000479221344,85.80000340938568,0.4242640855706679,0.6000000238418579,0.5900683850837606,outputs/phase_b_mesh_qc/case_outputs/771/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/771/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/771/segmentation_smoothed.stl,True,0.5907957899200574,3.141592653589793,0.5404062568592827,3.1398647274914993,-0.0026403141677492563,0.11131641121948264,True
772,outputs/final_test_250_phaseb_traceable_v14/case_outputs/772/seg_mask_0.5.nii.gz,ok,3.0,5,False,16,8496.891230389578,not_watertight,108.00000429153442,94.80000376701355,86.70000344514847,0.4242640855706679,0.6000000238418579,0.5916286101011305,outputs/phase_b_mesh_qc/case_outputs/772/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/772/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/772/segmentation_smoothed.stl,True,0.5923067861217021,3.141592653589793,0.5433986035801815,3.1405412524691716,not_watertight,0.08622825125331761,False
773,outputs/final_test_250_phaseb_traceable_v14/case_outputs/773/seg_mask_0.5.nii.gz,ok,3.0,4,True,0,7258.539472960743,5942.898708448677,100.80000400543213,93.00000369548798,108.60000431537628,0.4242640855706679,0.6000000238418579,0.5913754300213796,outputs/phase_b_mesh_qc/case_outputs/773/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/773/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/773/segmentation_smoothed.stl,True,0.5385796916300843,3.141592653589793,0.47510306871685126,3.1372826720667253,-0.0029336599574525954,0.05774924201890494,True
774,outputs/final_test_250_phaseb_traceable_v14/case_outputs/774/seg_mask_0.5.nii.gz,ok,3.0,13,True,0,7312.287769141438,6117.804729299099,112.20000445842743,84.00000333786011,100.20000398159027,0.4242640855706679,0.6000000238418579,0.5894019321785146,outputs/phase_b_mesh_qc/case_outputs/774/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/774/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/774/segmentation_smoothed.stl,True,0.57577532188334,3.141592653589793,0.5162088948370029,3.140388164250779,-0.003286892103457816,0.0732425596784811,True
775,outputs/final_test_250_phaseb_traceable_v14/case_outputs/775/seg_mask_0.5.nii.gz,ok,3.0,13,True,0,6349.337142456212,5305.788632499242,111.00000441074371,102.6000040769577,87.0000034570694,0.4242640855706679,0.6000000238418579,0.5911856549850469,outputs/phase_b_mesh_qc/case_outputs/775/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/775/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/775/segmentation_smoothed.stl,True,0.6087618867404226,3.141592653589793,0.5600855177105839,3.137434213444673,-0.0031625095714961668,0.07665881037031119,True
776,outputs/final_test_250_phaseb_traceable_v14/case_outputs/776/seg_mask_0.5.nii.gz,ok,3.0,8,True,0,8924.204555990249,7036.362838799748,109.20000433921814,93.00000369548798,88.20000350475311,0.4242640855706679,0.6000000238418579,0.5895606637734548,outputs/phase_b_mesh_qc/case_outputs/776/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/776/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/776/segmentation_smoothed.stl,True,0.5703259144315193,3.141592653589793,0.5155598367686112,3.1381123284594703,-0.003442416698043155,0.05194141177178261,True
777,outputs/final_test_250_phaseb_traceable_v14/case_outputs/777/seg_mask_0.5.nii.gz,ok,3.0,9,True,0,7289.7579894146165,5592.924666728522,105.00000417232513,91.2000036239624,91.80000364780426,0.4242640855706679,0.6000000238418579,0.588880116732951,outputs/phase_b_mesh_qc/case_outputs/777/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/777/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/777/segmentation_smoothed.stl,True,0.5815263414529123,3.141592653589793,0.5233597336865713,3.138832582810821,-0.0037986895635481284,0.044036558652466196,True
778,outputs/final_test_250_phaseb_traceable_v14/case_outputs/778/seg_mask_0.5.nii.gz,ok,3.0,10,True,0,7306.161107200811,5784.021689509064,98.4000039100647,85.20000338554382,100.20000398159027,0.4242640855706679,0.6000000238418579,0.5887881577313686,outputs/phase_b_mesh_qc/case_outputs/778/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/778/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/778/segmentation_smoothed.stl,True,0.5600400399259123,3.141592653589793,0.5033461625489595,3.1362513126210305,-0.003426461691149951,0.05158410770469013,True
779,outputs/final_test_250_phaseb_traceable_v14/case_outputs/779/seg_mask_0.5.nii.gz,ok,3.0,9,True,0,9228.532183656858,7402.014882388864,143.40000569820404,105.60000419616699,99.00000393390656,0.4242640855706679,0.6000000238418579,0.589409722106384,outputs/phase_b_mesh_qc/case_outputs/779/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/779/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/779/segmentation_smoothed.stl,True,0.5820679499343077,3.141592653589793,0.5302617200659331,3.1366927713209147,-0.0031850556572146894,0.05175521414470861,True
